CODIGO INTERNO,N_STORY,Htip,SYSTEM,LBAYS (m),NBAYS,VbMax_W
659,10,3,1,8,3,0.062944118
661,10,3,1,4,4,0.0243151
663,10,3,1,6,4,0.032025051
668,10,3,1,4,5,0.037587728
669,10,3,1,6,5,0.050116942
709,6,3,1,6,5,0.121562631
710,7,3,1,6,5,0.111356412
711,8,3,1,6,5,0.112122539
712,10,3,1,6,5,0.10756488
713,6,3,1,4,5,0.125093124
714,7,3,1,4,5,0.110428616
715,8,3,1,4,5,0.106516275
716,10,3,1,4,5,0.101869344
717,6,3,1,4,3,0.11910546
718,7,3,1,4,3,0.106693467
719,8,3,1,4,3,0.098455111
720,10,3,1,4,3,0.094445616
721,6,3,1,8,3,0.115558228
722,7,3,1,8,3,0.116405092
723,8,3,1,8,3,0.112030019
724,10,3,1,8,3,0.099494546
800,6,3.2,2,8,5,0.219942503
801,6,3.2,2,8,3,0.240427226
802,7,3.2,2,8,5,0.20868181
803,7,3.2,2,8,3,0.210583548
804,8,3.2,2,8,5,0.200829004
805,8,3.2,2,8,3,0.206502552
806,10,3.2,2,8,5,0.175719647
807,10,3.2,2,8,3,0.17797834
808,12,3.2,2,8,5,0.147366728
809,12,3.2,2,8,3,0.153781438
810,14,3.2,2,8,5,0.125593261
811,14,3.2,2,8,3,0.131121696
812,16,3.2,2,8,5,0.112425248
813,16,3.2,2,8,3,0.117744303
819,6,3.2,2,8,3,0.221066587
821,7,3.2,2,8,3,0.224078259
823,8,3.2,2,8,3,0.220670022
824,10,3.2,2,8,5,0.18212359
825,10,3.2,2,8,3,0.187216814
826,12,3.2,2,8,5,0.150826652
827,12,3.2,2,8,3,0.158693981
828,14,3.2,2,8,5,0.127277612
829,14,3.2,2,8,3,0.130714611
830,16,3.2,2,8,5,0.112244104
831,16,3.2,2,8,3,0.11254769
836,6,3.2,2,8,5,0.267265596
837,6,3.2,2,8,3,0.284646048
838,7,3.2,2,8,5,0.265363319
839,7,3.2,2,8,3,0.303314238
840,8,3.2,2,8,5,0.252420694
841,8,3.2,2,8,3,0.285636311
842,10,3.2,2,8,5,0.182112289
843,10,3.2,2,8,3,0.221483784
844,12,3.2,2,8,5,0.178417384
845,12,3.2,2,8,3,0.147790771
846,14,3.2,2,8,5,0.144711505
847,14,3.2,2,8,3,0.124450897
848,16,3.2,2,8,5,0.121852104
849,16,3.2,2,8,3,0.121869331
