LONGITUD_MAN,LATITUD_MAN,ESTRATO_P,PATRIMONIO,Urbanizaci,MANCHA_URB,PISO_R,Mixto,NP_USO,Residencial,Apartamento,Casa,NP_VIV,Concreto,Madera,Mamposteria,NP_PARED,Prefabricado,Baldosa,Cemento,Marmol/parque/madera pulida,NP_PISO,Tierra
-74.7731146,10.93965732,2.0,0,0,2000,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7985258,10.90012461,1.0,0,0,2010,1.0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
-74.7683455,10.93158565,2.0,0,0,1990,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7872184,10.90247906,2.0,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7705942,10.9277765,2.0,0,0,1985,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.767058,10.94343135,1.0,0,0,2010,1.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
-74.7757341,10.92074816,1.0,0,0,1985,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
-74.802432,10.91883985,1.5,0,0,2005,2.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7904232,10.90103658,2.0,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7877807,10.90579119,2.0,0,0,2000,2.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7719521,10.93606251,2.0,0,0,1995,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7742234,10.93217583,2.0,0,0,1990,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7719521,10.93606251,2.0,0,0,1995,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7758781,10.912116,1.0,0,0,2010,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.8044548,10.91924608,2.0,0,0,2005,1.5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7688857,10.93079108,2.0,0,0,1990,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
